,genus,genus_count,effector_count,effectors
1016,Lamprigera,119,24,"7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 46, 50, 73, 76, 77, 78, 79, 85, 90, 91, 93, 94, 95"
419,Clunio,119,27,"1, 7, 10, 11, 12, 15, 17, 21, 23, 24, 29, 30, 32, 41, 46, 50, 57, 73, 76, 77, 78, 85, 90, 91, 92, 93, 95"
529,Geobacillus,118,18,"1, 2, 5, 22, 57, 66, 70, 73, 76, 77, 79, 81, 85, 92, 93, 94, 95, 100"
188,Campylobacter,117,20,"1, 11, 15, 23, 24, 30, 38, 57, 58, 65, 66, 70, 73, 76, 81, 85, 90, 92, 95, 100"
1110,Lepeophtheirus,116,22,"7, 12, 17, 23, 24, 29, 30, 32, 43, 46, 50, 65, 73, 76, 77, 78, 79, 90, 91, 93, 94, 95"
1088,Homalodisca,115,28,"7, 10, 11, 12, 15, 17, 22, 23, 29, 30, 41, 42, 43, 46, 50, 58, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
1083,Apolygus,115,23,"7, 10, 11, 12, 15, 17, 22, 23, 29, 30, 38, 41, 43, 50, 65, 73, 77, 78, 79, 90, 91, 93, 95"
1243,Sipha,115,30,"10, 12, 15, 17, 22, 23, 29, 30, 31, 32, 33, 41, 46, 50, 57, 64, 66, 70, 73, 76, 77, 78, 79, 81, 85, 91, 92, 93, 94, 95"
239,Haemophilus,111,21,"1, 7, 12, 15, 24, 57, 58, 65, 66, 70, 73, 76, 77, 81, 85, 90, 92, 93, 94, 95, 100"
1139,Plutella,111,22,"7, 10, 12, 17, 23, 29, 30, 38, 41, 46, 57, 70, 73, 76, 77, 78, 81, 90, 91, 93, 94, 95"
28,Cupriavidus,110,18,"1, 11, 15, 32, 57, 58, 66, 70, 73, 76, 81, 85, 90, 92, 93, 94, 95, 100"
372,Ephemera,110,27,"1, 7, 10, 11, 12, 15, 17, 23, 29, 30, 41, 43, 46, 50, 73, 74, 76, 77, 78, 81, 85, 90, 91, 92, 93, 94, 95"
618,Schizaphis,110,32,"1, 2, 4, 10, 11, 12, 17, 23, 30, 32, 41, 46, 50, 57, 58, 60, 66, 70, 73, 76, 77, 78, 79, 81, 82, 85, 91, 92, 93, 94, 95, 100"
272,Adineta,109,28,"1, 5, 7, 11, 21, 29, 32, 40, 43, 46, 50, 57, 58, 64, 65, 66, 70, 73, 76, 77, 78, 81, 90, 92, 93, 94, 95, 100"
302,Penaeus,109,29,"1, 7, 11, 12, 17, 21, 23, 24, 29, 30, 38, 41, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 95, 100"
123,Mycolicibacterium,108,23,"1, 4, 11, 12, 15, 24, 29, 32, 38, 46, 57, 58, 73, 76, 79, 81, 85, 90, 92, 93, 94, 95, 100"
471,Oncopeltus,108,25,"1, 4, 7, 10, 11, 12, 17, 22, 23, 29, 30, 41, 46, 50, 73, 76, 77, 78, 79, 81, 91, 92, 93, 94, 95"
77,Corynebacterium,107,21,"1, 4, 11, 15, 24, 32, 38, 57, 58, 65, 66, 73, 76, 81, 85, 90, 92, 93, 94, 95, 100"
